leftHipAngle,rightHipAngle,leftElbowAngle,rightElbowAngle,leftKneeAngle,rightKneeAngle,velocityX,velocityY,velocityZ,label
129.5430517,124.075723,174.2482607,176.9329126,166.856439,166.2631562,0.000183821,0.000900149,0,FullRollUp
128.0813324,123.4845793,173.448431,175.8012153,166.4771904,165.8283339,0.000639498,0.000678718,0,FullRollUp
126.5861425,122.6523308,172.1228906,175.4244095,166.7609804,165.5700039,5.67E-05,0.00030762,0,FullRollUp
125.3636853,121.94776,171.8743083,175.392589,166.8590305,165.6137951,0.000163376,-7.81E-06,0,FullRollUp
124.9574101,120.6379172,173.7814255,173.4628324,166.7545763,165.3657013,0.000832319,0.000202537,0,FullRollUp
124.1668592,119.6125034,175.1998423,171.2663968,166.4936584,164.830667,0.000837684,0.000480592,0,FullRollUp
123.4300492,118.4855127,176.8175349,170.5656524,167.0389057,164.3271949,0.000239968,6.26E-06,0,FullRollUp
122.1988429,117.0376418,178.0654972,168.0817661,166.9651994,163.4590327,0.000191033,0.000416934,0,FullRollUp
120.8642986,115.057722,179.6240225,167.2601046,166.872786,162.6925019,0.000331998,0.000445247,0,FullRollUp
119.5526942,113.4461286,179.5742207,165.2292825,166.5340263,161.8581282,8.77E-05,0.000377774,0,FullRollUp
118.4697709,111.619119,179.374608,165.7169841,166.2349113,161.3377973,-1.63E-05,0.000786126,0,FullRollUp
117.890174,109.8039312,179.211539,166.7910044,165.2757937,161.142558,-0.000110805,0.000292063,0,FullRollUp
116.1924707,108.7015636,179.6786061,167.8380659,163.6038622,161.224146,-0.00016129,-6.77E-05,0,FullRollUp
115.4221667,108.1249352,178.9274571,170.6928818,163.2840904,162.7575215,-0.0001508,-0.000101447,0,FullRollUp
113.9832129,107.3305098,179.8582646,170.686695,162.4019534,162.7347196,0.000124514,3.58E-05,0,FullRollUp
111.1779077,106.8287559,178.4609394,170.2313666,159.8189001,163.1486342,0.000274181,-8.45E-05,0,FullRollUp
110.3282792,106.6609227,178.7548364,170.945168,159.1829162,164.3678591,3.06E-05,0.000393391,0,FullRollUp
108.5675297,106.6906344,177.9495533,170.9705191,158.2063944,165.4169218,2.65E-05,1.86E-05,0,FullRollUp
