left_hip_angle,right_hip_angle,confidence,feedback,label
176.96495414076736,177.01922352791198,176.99208883433965,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
176.78020741543162,177.4597323659693,177.11996989070047,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
176.62904985115148,177.04840577875208,176.83872781495177,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
176.73584866510896,175.95657598851835,176.34621232681366,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
176.88141333398661,176.16178857460153,176.52160095429406,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.9278402733542,175.7897939518677,176.85881711261095,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.98703088716837,175.95626085575955,176.97164587146398,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.86226603377685,176.0731044353062,176.96768523454153,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.91137743712824,176.01417415010212,176.96277579361518,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
178.041789761395,176.16736846866377,177.10457911502937,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.86561078891626,176.88328262932953,177.37444670912288,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.59719099120406,176.95348303640762,177.27533701380582,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.83387354428615,176.23836404378255,177.03611879403434,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.2575780928125,176.53765227029945,176.89761518155598,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.11009791108856,176.6144289555693,176.86226343332893,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.22918181556793,176.78780070824726,177.00849126190758,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.37210146105633,176.49086925970033,176.93148536037833,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.4384890829186,176.40662187419647,176.92255547855754,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.712319180811,177.18998550046538,177.4511523406382,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.39264668451492,177.37714891080162,177.38489779765825,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.11255398353558,177.10080780888904,177.1066808962123,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
176.81153538656542,176.82737743787285,176.81945641221915,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
176.8510275704704,177.40436257952166,177.12769507499604,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
176.6092851188616,176.91820326902,176.7637441939408,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
177.05885764912256,175.86322012816177,176.46103888864218,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
178.38972555728296,176.67427994844397,177.53200275286346,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
179.34155390658336,177.18986508501274,178.26570949579803,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
179.9829926751657,176.1489709657383,178.065981820452,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
179.14195517158822,176.2362974085869,177.68912629008756,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
179.67399890199206,176.41754675974457,178.04577283086832,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
179.8048781880962,177.26386605851047,178.53437212330334,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
179.66213323457623,177.41288558082834,178.5375094077023,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
178.33340298061222,177.43695248898297,177.8851777347976,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
176.8609616767282,178.8529573498281,177.85695951327816,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
175.46198891890862,179.86906370742227,177.66552631316546,Lower your hips slightly on the left side! Lower your hips slightly on the right side!,Incorrect
